1;3915;9.900000;201;small
2;3908;9.900000;292;small
3;3769;9.900000;85;small
4;3282;9.900000;620;small
5;4031;9.900000;685;small
6;3295;9.900000;416;small
7;2971;9.900000;669;small
8;3286;9.900000;1148;small
9;2499;9.900000;104;small
10;3678;9.900000;1035;small
11;2937;9.900000;399;small
12;3217;9.900000;128;small
13;4140;9.900000;726;small
14;3204;9.900000;923;small
15;3916;9.900000;939;small
16;2716;9.900000;567;small
17;4072;9.900000;889;small
18;3082;9.900000;976;small
19;3531;9.900000;817;small
20;3757;9.900000;376;small
21;3662;9.900000;640;small
22;3621;9.900000;533;small
23;3002;9.900000;726;small
24;3110;9.900000;655;small
25;2758;9.900000;807;small
26;3724;9.900000;959;small
27;3512;9.900000;1101;small
28;3381;9.900000;365;small
29;3154;9.900000;491;small
30;3291;9.900000;1009;small
31;3177;9.900000;377;small
32;3023;9.900000;345;small
33;3460;9.900000;476;small
34;4038;9.900000;791;small
35;3100;9.900000;702;small
36;2959;9.900000;208;small
37;3394;9.900000;734;small
38;2726;9.900000;297;small
39;3437;9.900000;1304;small
40;3762;9.900000;580;small
41;3048;9.900000;903;small
42;2858;9.900000;897;small
43;2652;9.900000;240;small
44;3191;9.900000;1206;small
45;3601;9.900000;264;small
46;3342;9.900000;280;small
47;2719;9.900000;431;small
48;4068;9.900000;546;small
49;2397;9.900000;159;small
50;3313;9.900000;811;small
51;3115;9.900000;395;small
52;3947;9.900000;435;small
53;3794;9.900000;328;small
54;3568;9.900000;1185;small
55;3445;9.900000;167;small
56;3980;9.900000;833;small
57;2753;9.900000;386;small
58;3189;9.900000;1017;small
59;2463;9.900000;315;small
60;2690;9.900000;207;small
61;3259;9.900000;723;small
62;3560;9.900000;626;small
63;3568;9.900000;925;small
64;3480;9.900000;396;small
65;2813;9.900000;844;small
66;3359;9.900000;1010;small
67;3963;9.900000;747;small
68;3860;9.900000;1004;small
69;3740;9.900000;303;small
70;3473;9.900000;1279;small
71;3742;9.900000;151;small
72;2889;9.900000;159;small
73;2883;9.900000;163;small
74;2873;9.900000;169;small
75;2854;9.900000;225;small
76;3640;9.900000;239;small
77;3944;9.900000;270;small
78;1422;9.900000;356;small
79;2540;9.900000;468;small
80;2377;9.900000;502;small
81;2538;9.900000;531;small
82;1354;9.900000;400;small
83;1285;9.900000;415;small
84;2191;9.900000;457;small
85;1285;9.900000;436;small
86;1311;9.900000;438;small
87;2629;9.900000;453;small
88;1518;9.900000;464;small
89;4049;9.900000;478;small
90;1379;9.900000;504;small
91;1537;9.900000;505;small
92;1592;9.900000;531;small
93;1499;9.900000;561;small
94;2311;9.900000;564;small
95;2303;9.900000;573;small
96;2669;9.900000;581;small
97;1545;9.900000;579;small
98;2323;9.900000;582;small
99;2299;9.900000;594;small
100;2489;9.900000;591;small
101;1376;9.900000;650;small
102;1313;9.900000;700;small
103;1528;9.900000;601;small
104;1283;9.900000;779;small
105;2088;9.900000;715;small
106;2382;9.900000;657;small
107;2268;9.900000;660;small
108;1742;9.900000;883;small
109;1904;9.900000;747;small
110;1657;9.900000;985;small
111;1795;9.900000;688;small
112;1757;9.900000;968;small
113;1656;9.900000;842;small
114;1351;9.900000;722;small
115;1245;9.900000;786;small
116;1889;9.900000;782;small
117;1636;9.900000;861;small
118;2661;9.900000;871;small
119;923;9.900000;870;small
120;366;9.900000;1142;small
121;314;9.900000;1162;small
122;528;9.900000;896;small
123;621;9.900000;982;small
124;385;9.900000;938;small
125;2729;9.900000;882;small
126;2675;9.900000;893;small
127;1056;9.900000;964;small
128;783;9.900000;927;small
129;1177;9.900000;970;small
130;1145;9.900000;1089;small
131;2702;9.900000;922;small
132;2748;9.900000;951;small
133;4112;9.900000;946;small
134;4138;9.900000;960;small
135;1548;9.900000;1009;small
136;1460;9.900000;997;small
137;1416;9.900000;1018;small
138;4124;9.900000;1010;small
139;4048;9.900000;1065;small
140;3914;9.900000;1071;small
141;4034;9.900000;1062;small
142;649;9.900000;1413;small
143;414;9.900000;1787;small
144;1121;9.900000;1229;small
145;1097;9.900000;1649;small
146;358;9.900000;1494;small
147;606;9.900000;1315;small
148;143;9.900000;1896;small
149;706;9.900000;1853;small
150;737;9.900000;1287;small
151;1255;9.900000;1582;small
152;801;9.900000;1284;small
153;728;9.900000;1871;small
